what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1322445971087
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1322445971087
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322445971088
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1322445971089
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1322445971112
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1322445971112
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1322445971113
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1322445971114
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322445971115
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1322445971119
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1322445971121
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322445971122
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1322445971123
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1322445971124
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322445971125
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322445971126
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1322445971127
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1322445971129
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322445971129
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1322445971141
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1322445971142
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1322445971144
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1322445971145
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322445971148
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322445971150
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322445971152
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322445971153
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322445971155
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322445971156
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1322445971156
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1322445971161
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1322445971162
os,sysinfo,,,"macosx",1322445971173
arch,sysinfo,,,"x86_64",1322445971173
ws,sysinfo,,,"cocoa",1322445971173
locale,sysinfo,,,"en_US",1322445971173
processors,sysinfo,,,"4",1322445971173
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322445971173
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1322445971173
java.specification.name,sysinfo,,,"Java Platform API Specification",1322445971173
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322445971173
java.specification.version,sysinfo,,,"1.6",1322445971173
java.vendor,sysinfo,,,"Apple Inc.",1322445971173
java.version,sysinfo,,,"1.6.0_29",1322445971173
java.vm.info,sysinfo,,,"mixed mode",1322445971173
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322445971173
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322445971173
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322445971173
java.vm.specification.version,sysinfo,,,"1.0",1322445971173
java.vm.vendor,sysinfo,,,"Apple Inc.",1322445971173
